,p1_max_debuff_received
0,0
1,0
2,0
3,-1
4,-1
5,-1
6,0
7,0
8,0
9,-1
10,0
11,-1
12,0
13,-1
14,0
15,0
16,0
17,0
18,-1
19,0
20,0
21,0
22,0
23,0
24,-1
25,0
26,0
27,0
28,0
29,-1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,-1
41,0
42,-1
43,0
44,0
45,-3
46,0
47,0
48,0
49,0
50,-1
51,0
52,0
53,0
54,-1
55,0
56,0
57,0
58,-1
59,-1
60,0
61,0
62,0
63,0
64,-1
65,0
66,-1
67,0
68,-1
69,0
70,0
71,-1
72,0
73,0
74,0
75,-1
76,-1
77,-1
78,0
79,-1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,-2
89,0
90,-1
91,0
92,0
93,0
94,0
95,-2
96,-1
97,0
98,0
99,0
100,-1
101,0
102,0
103,0
104,-3
105,0
106,-1
107,-1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,-1
123,0
124,0
125,0
126,0
127,-1
128,0
129,0
130,0
131,0
132,0
133,0
134,-1
135,0
136,0
137,0
138,0
139,0
140,0
141,-1
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,-1
159,0
160,-1
161,0
162,0
163,0
164,0
165,0
166,0
167,-2
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,-1
184,0
185,0
186,-1
187,0
188,0
189,0
190,-1
191,0
192,0
193,0
194,0
195,0
196,-1
197,0
198,0
199,0
200,-1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,-1
226,0
227,0
228,0
229,0
230,-1
231,0
232,-2
233,-1
234,0
235,0
236,0
237,0
238,-1
239,0
240,0
241,0
242,-1
243,0
244,0
245,0
246,-1
247,-1
248,0
249,0
250,-1
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,-1
265,0
266,0
267,0
268,-1
269,0
270,0
271,-2
272,0
273,0
274,0
275,0
276,0
277,-1
278,0
279,-1
280,0
281,-1
282,-1
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,-1
291,-1
292,0
293,0
294,0
295,0
296,0
297,-1
298,-1
299,0
300,-1
301,-1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,-1
311,0
312,0
313,-1
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,-2
322,-1
323,0
324,0
325,-1
326,-1
327,-1
328,-2
329,0
330,0
331,0
332,0
333,-1
334,0
335,0
336,0
337,-1
338,0
339,0
340,0
341,-1
342,0
343,0
344,-1
345,-1
346,-1
347,-1
348,0
349,0
350,-1
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,-1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,-2
374,-1
375,0
376,-1
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,-1
399,0
400,0
401,-1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,-1
411,-1
412,0
413,-1
414,0
415,0
416,0
417,0
418,-1
419,0
420,-1
421,0
422,0
423,-1
424,-1
425,0
426,-1
427,-1
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,-1
437,-1
438,0
439,0
440,-1
441,0
442,-2
443,0
444,0
445,0
446,-1
447,0
448,0
449,-1
450,0
451,-1
452,-1
453,-1
454,0
455,-1
456,0
457,-1
458,0
459,-1
460,0
461,-1
462,-2
463,0
464,-1
465,0
466,0
467,-1
468,0
469,0
470,0
471,0
472,-1
473,-1
474,0
475,-2
476,0
477,0
478,-1
479,0
480,-1
481,0
482,0
483,0
484,0
485,-1
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,-1
496,-1
497,0
498,0
499,0
